ji,siann,un,tiau,pheng
"逍","時","嬌","上平","siau1"
"蛸","時","嬌","上平","siau1"
"銷","時","嬌","上平","siau1"
"魈","時","嬌","上平","siau1"
"硝","時","嬌","上平","siau1"
"焇","時","嬌","上平","siau1"
"彇","時","嬌","上平","siau1"
"潚","時","嬌","上平","siau1"
"簫","時","嬌","上平","siau1"
"蕭","時","嬌","上平","siau1"
"翛","時","嬌","上平","siau1"
"燒","時","嬌","上平","siau1"
"稍","時","嬌","上平","siau1"
"夭","英","嬌","上平","iau1"
"妖","英","嬌","上平","iau1"
"祅","英","嬌","上平","iau1"
"幺","英","嬌","上平","iau1"
"么","英","嬌","上平","iau1"
"要","英","嬌","上平","iau1"
"喓","英","嬌","上平","iau1"
"腰","英","嬌","上平","iau1"
"䙅","英","嬌","上平","iau1"
"葽","英","嬌","上平","iau1"
"鍫","出","嬌","上平","tshiau1"
"鍬","出","嬌","上平","tshiau1"
"儌","喜","嬌","上平","hiau1"
"憿","喜","嬌","上平","hiau1"
"徼","喜","嬌","上平","hiau1"
"獥","喜","嬌","上平","hiau1"
"噭","喜","嬌","上平","hiau1"
"邀","喜","嬌","上平","hiau1"
"呺","喜","嬌","上平","hiau1"
"嘵","喜","嬌","上平","hiau1"
"枵","喜","嬌","上平","hiau1"
"鴞","喜","嬌","上平","hiau1"
"𠑪","喜","嬌","上平","hiau1"
"梟","喜","嬌","上平","hiau1"
"𥄉","喜","嬌","上平","hiau1"
"県","喜","嬌","上平","hiau1"
"囂","喜","嬌","上平","hiau1"
"𠾅","喜","嬌","上平","hiau1"
"驍","喜","嬌","上平","hiau1"
"嫋","喜","嬌","上平","hiau1"
"了","柳","嬌","上上","liau2"
"嫋","柳","嬌","上上","liau2"
"蓼","柳","嬌","上上","liau2"
"嫽","柳","嬌","上上","liau2"
"撩","柳","嬌","上上","liau2"
"憭","柳","嬌","上上","liau2"
"瞭","柳","嬌","上上","liau2"
"繚","柳","嬌","上上","liau2"
"表","邊","嬌","上上","piau2"
"婊","邊","嬌","上上","piau2"
"殍","邊","嬌","上上","piau2"
"莩","邊","嬌","上上","piau2"
"㟽","邊","嬌","上上","piau2"
"摽","邊","嬌","上上","piau2"
"𢷋","邊","嬌","上上","piau2"
"皎","求","嬌","上上","kiau2"
"矯","求","嬌","上上","kiau2"
"蹻","求","嬌","上上","kiau2"
"攪","求","嬌","上上","kiau2"
"灚","求","嬌","上上","kiau2"
"繳","求","嬌","上上","kiau2"
"儌","求","嬌","上上","kiau2"
"曒","求","嬌","上上","kiau2"
"皦","求","嬌","上上","kiau2"
"噭","求","嬌","上上","kiau2"
"髜","氣","嬌","上上","khiau2"
"𠌵","地","嬌","上上","tiau2"
"䄪","地","嬌","上上","tiau2"
"𢁕","地","嬌","上上","tiau2"
"㒛","地","嬌","上上","tiau2"
"剽","頗","嬌","上上","phiau2"
"皫","頗","嬌","上上","phiau2"
"窕","他","嬌","上上","thiau2"
"挑","他","嬌","上上","thiau2"
"掉","他","嬌","上上","thiau2"
"巐","他","嬌","上上","thiau2"
"誂","他","嬌","上上","thiau2"
"𠻩","他","嬌","上上","thiau2"
"沼","曾","嬌","上上","tsiau2"
"爪","入","嬌","上上","jiau2"
"抓","入","嬌","上上","jiau2"
"擾","入","嬌","上上","jiau2"
"繞","入","嬌","上上","jiau2"
"遶","入","嬌","上上","jiau2"
"小","時","嬌","上上","siau2"
"少","時","嬌","上上","siau2"
"篠","時","嬌","上上","siau2"
"嬲","時","嬌","上上","siau2"
"夭","英","嬌","上上","iau2"
"殀","英","嬌","上上","iau2"
"舀","英","嬌","上上","iau2"
"窈","英","嬌","上上","iau2"
"鷕","英","嬌","上上","iau2"
"𩈏","英","嬌","上上","iau2"
"穾","英","嬌","上上","iau2"
"偠","英","嬌","上上","iau2"
"仸","英","嬌","上上","iau2"
"渺","文","嬌","上上","biau2"
"緲","文","嬌","上上","biau2"
"淼","文","嬌","上上","biau2"
"杳","文","嬌","上上","biau2"
"邈","文","嬌","上上","biau2"
"窔","文","嬌","上上","biau2"
"皛","文","嬌","上上","biau2"
"窅","文","嬌","上上","biau2"
"㴭","文","嬌","上上","biau2"
"眇","文","嬌","上上","biau2"
"杪","文","嬌","上上","biau2"
"秒","文","嬌","上上","biau2"
"藐","文","嬌","上上","biau2"
"龖","文","嬌","上上","biau2"
"龘","文","嬌","上上","biau2"
"仯","文","嬌","上上","biau2"
"愀","出","嬌","上上","tshiau2"
"眧","出","嬌","上上","tshiau2"
"僺","出","嬌","上上","tshiau2"
"悄","出","嬌","上上","tshiau2"
"曉","喜","嬌","上上","hiau2"
"俵","邊","嬌","上去","piau3"
"裱","邊","嬌","上去","piau3"
"䞄","邊","嬌","上去","piau3"
"叫","求","嬌","上去","kiau3"
"呌","求","嬌","上去","kiau3"
"竅","氣","嬌","上去","khiau3"
"徼","氣","嬌","上去","khiau3"
"𠿕","氣","嬌","上去","khiau3"
"伄","地","嬌","上去","tiau3"
"弔","地","嬌","上去","tiau3"
"吊","地","嬌","上去","tiau3"
"𥾯","地","嬌","上去","tiau3"
"釣","地","嬌","上去","tiau3"
"窵","地","嬌","上去","tiau3"
"瘹","地","嬌","上去","tiau3"
"僄","頗","嬌","上去","phiau3"
"𠎼","頗","嬌","上去","phiau3"
"剽","頗","嬌","上去","phiau3"
"嘌","頗","嬌","上去","phiau3"
"勡","頗","嬌","上去","phiau3"
"嫖","頗","嬌","上去","phiau3"
"漂","頗","嬌","上去","phiau3"
"㬓","頗","嬌","上去","phiau3"
"票","頗","嬌","上去","phiau3"
"驃","頗","嬌","上去","phiau3"
"跳","他","嬌","上去","thiau3"
"糶","他","嬌","上去","thiau3"
"眺","他","嬌","上去","thiau3"
"頫","他","嬌","上去","thiau3"
"照","曾","嬌","上去","tsiau3"
"炤","曾","嬌","上去","tsiau3"
"曌","曾","嬌","上去","tsiau3"
"瞾","曾","嬌","上去","tsiau3"
"僬","曾","嬌","上去","tsiau3"
"詔","曾","嬌","上去","tsiau3"
"皺","入","嬌","上去","jiau3"
"縐","入","嬌","上去","jiau3"
"少","時","嬌","上去","siau3"
"肖","時","嬌","上去","siau3"
"哨","時","嬌","上去","siau3"
"笑","時","嬌","上去","siau3"
"俏","時","嬌","上去","siau3"
"峭","時","嬌","上去","siau3"
"誚","時","嬌","上去","siau3"
"䊥","時","嬌","上去","siau3"
"要","英","嬌","上去","iau3"
"穾","英","嬌","上去","iau3"
"㹓","英","嬌","上去","iau3"
"笑","出","嬌","上去","tshiau3"
"咲","出","嬌","上去","tshiau3"
"俏","出","嬌","上去","tshiau3"
"鞘","出","嬌","上去","tshiau3"
"偢","出","嬌","上去","tshiau3"
"愀","出","嬌","上去","tshiau3"
"㔅","出","嬌","上去","tshiau3"
"嘯","出","嬌","上去","tshiau3"
"歗","出","嬌","上去","tshiau3"
"𦫢","出","嬌","上去","tshiau3"
"僚","柳","嬌","下平","liau5"
"佬","柳","嬌","下平","liau5"
"嘹","柳","嬌","下平","liau5"
"嶛","柳","嬌","下平","liau5"
"𡻪","柳","嬌","下平","liau5"
"𡽐","柳","嬌","下平","liau5"
"寥","柳","嬌","下平","liau5"
"獠","柳","嬌","下平","liau5"
"寮","柳","嬌","下平","liau5"
"屪","柳","嬌","下平","liau5"
"撩","柳","嬌","下平","liau5"
"燎","柳","嬌","下平","liau5"
"憀","柳","嬌","下平","liau5"
"聊","柳","嬌","下平","liau5"
"蟟","柳","嬌","下平","liau5"
"膋","柳","嬌","下平","liau5"
"蹘","柳","嬌","下平","liau5"
"𧽽","柳","嬌","下平","liau5"
"遼","柳","嬌","下平","liau5"
"䜍","柳","嬌","下平","liau5"
"繚","柳","嬌","下平","liau5"
"鷯","柳","嬌","下平","liau5"
"僑","求","嬌","下平","kiau5"
"喬","求","嬌","下平","kiau5"
"嶠","求","嬌","下平","kiau5"
"橋","求","嬌","下平","kiau5"
"鷮","求","嬌","下平","kiau5"
"翹","求","嬌","下平","kiau5"
"荍","求","嬌","下平","kiau5"
"條","地","嬌","下平","tiau5"
"鞗","地","嬌","下平","tiau5"
"鰷","地","嬌","下平","tiau5"
"岧","地","嬌","下平","tiau5"
"笤","地","嬌","下平","tiau5"
"苕","地","嬌","下平","tiau5"
"迢","地","嬌","下平","tiau5"
"髫","地","嬌","下平","tiau5"
"齠","地","嬌","下平","tiau5"
"佻","地","嬌","下平","tiau5"
"潮","地","嬌","下平","tiau5"
"朝","地","嬌","下平","tiau5"
"蜩","地","嬌","下平","tiau5"
"調","地","嬌","下平","tiau5"
"椆","地","嬌","下平","tiau5"
"嫖","頗","嬌","下平","phiau5"
"瓢","頗","嬌","下平","phiau5"
"薸","頗","嬌","下平","phiau5"
"䕯","頗","嬌","下平","phiau5"
"鮡","他","嬌","下平","thiau5"
"樵","曾","嬌","下平","tsiau5"
"瞧","曾","嬌","下平","tsiau5"
"憔","曾","嬌","下平","tsiau5"
"顦","曾","嬌","下平","tsiau5"
"譙","曾","嬌","下平","tsiau5"
"鷦","曾","嬌","下平","tsiau5"
"劁","曾","嬌","下平","tsiau5"
"橈","入","嬌","下平","jiau5"
"嬈","入","嬌","下平","jiau5"
"澆","入","嬌","下平","jiau5"
"蟯","入","嬌","下平","jiau5"
"鱙","入","嬌","下平","jiau5"
"饒","入","嬌","下平","jiau5"
"皺","入","嬌","下平","jiau5"
"韶","時","嬌","下平","siau5"
"佋","時","嬌","下平","siau5"
"姚","英","嬌","下平","iau5"
"佻","英","嬌","下平","iau5"
"僥","英","嬌","下平","iau5"
"㑾","英","嬌","下平","iau5"
"傜","英","嬌","下平","iau5"
"徭","英","嬌","下平","iau5"
"瑤","英","嬌","下平","iau5"
"搖","英","嬌","下平","iau5"
"窯","英","嬌","下平","iau5"
"窑","英","嬌","下平","iau5"
"窰","英","嬌","下平","iau5"
"遙","英","嬌","下平","iau5"
"謠","英","嬌","下平","iau5"
"颻","英","嬌","下平","iau5"
"陶","英","嬌","下平","iau5"
"嶢","英","嬌","下平","iau5"
"䍃","英","嬌","下平","iau5"
"描","文","嬌","下平","biau5"
"貓","文","嬌","下平","biau5"
"猫","文","嬌","下平","biau5"
"苗","文","嬌","下平","biau5"
"堯","語","嬌","下平","giau5"
"𡊪","語","嬌","下平","giau5"
"僥","語","嬌","下平","giau5"
"嶢","語","嬌","下平","giau5"
"蕘","語","嬌","下平","giau5"
"嫐","喜","嬌","下平","hiau5"
"料","柳","嬌","下去","liau7"
"廖","柳","嬌","下去","liau7"
"療","柳","嬌","下去","liau7"
"燎","柳","嬌","下去","liau7"
"炓","柳","嬌","下去","liau7"
"轎","求","嬌","下去","kiau7"
"召","地","嬌","下去","tiau7"
"兆","地","嬌","下去","tiau7"
"旐","地","嬌","下去","tiau7"
"銚","地","嬌","下去","tiau7"
"鼂","地","嬌","下去","tiau7"
"𣆷","地","嬌","下去","tiau7"
"晁","地","嬌","下去","tiau7"
"肇","地","嬌","下去","tiau7"
"肈","地","嬌","下去","tiau7"
"駣","地","嬌","下去","tiau7"
"趙","地","嬌","下去","tiau7"
"噍","曾","嬌","下去","tsiau7"
"醮","曾","嬌","下去","tsiau7"
"溺","入","嬌","下去","jiau7"
"尿","入","嬌","下去","jiau7"
"邵","時","嬌","下去","siau7"
"劭","時","嬌","下去","siau7"
"佋","時","嬌","下去","siau7"
"紹","時","嬌","下去","siau7"
"曜","英","嬌","下去","iau7"
"燿","英","嬌","下去","iau7"
"耀","英","嬌","下去","iau7"
"𦡱","英","嬌","下去","iau7"
"鷂","英","嬌","下去","iau7"
"妙","文","嬌","下去","biau7"
"玅","文","嬌","下去","biau7"
"廟","文","嬌","下去","biau7"
"庙","文","嬌","下去","biau7"
"𠟋","語","嬌","下去","giau7"
"鎞","邊","稽","上平","pei1"
"稽","求","稽","上平","kei1"
"𥟵","求","稽","上平","kei1"
"嵇","求","稽","上平","kei1"
"鷄","求","稽","上平","kei1"
"雞","求","稽","上平","kei1"
"鸂","求","稽","上平","kei1"
"街","求","稽","上平","kei1"
"笄","求","稽","上平","kei1"
"溪","氣","稽","上平","khei1"
"嵠","氣","稽","上平","khei1"
"磎","氣","稽","上平","khei1"
"谿","氣","稽","上平","khei1"
"低","地","稽","上平","tei1"
"仾","地","稽","上平","tei1"
"羝","地","稽","上平","tei1"
"隄","地","稽","上平","tei1"
"堤","地","稽","上平","tei1"
"批","頗","稽","上平","phei1"
"㱟","頗","稽","上平","phei1"
"紕","頗","稽","上平","phei1"
"梯","他","稽","上平","thei1"
"儕","曾","稽","上平","tsei1"
"劑","曾","稽","上平","tsei1"
"嚌","曾","稽","上平","tsei1"
"擠","曾","稽","上平","tsei1"
"臍","曾","稽","上平","tsei1"
"穧","曾","稽","上平","tsei1"
"薺","曾","稽","上平","tsei1"
"躋","曾","稽","上平","tsei1"
"隮","曾","稽","上平","tsei1"
"齎","曾","稽","上平","tsei1"
"齏","曾","稽","上平","tsei1"
"賷","曾","稽","上平","tsei1"
"鄒","曾","稽","上平","tsei1"
"西","時","稽","上平","sei1"
"恓","時","稽","上平","sei1"
"栖","時","稽","上平","sei1"
"棲","時","稽","上平","sei1"
"捿","時","稽","上平","sei1"
"萋","時","稽","上平","sei1"
"犀","時","稽","上平","sei1"
"樨","時","稽","上平","sei1"
"梳","時","稽","上平","sei1"
"妻","出","稽","上平","tshei1"
"萋","出","稽","上平","tshei1"
"悽","出","稽","上平","tshei1"
"淒","出","稽","上平","tshei1"
"凄","出","稽","上平","tshei1"
"初","出","稽","上平","tshei1"
"𥉐","喜","稽","上平","hei1"
"醢","喜","稽","上平","hei1"
"禮","柳","稽","上上","lei2"
"礼","柳","稽","上上","lei2"
"豊","柳","稽","上上","lei2"
"澧","柳","稽","上上","lei2"
"醴","柳","稽","上上","lei2"
"䌡","柳","稽","上上","lei2"
"𣀂","柳","稽","上上","lei2"
"蠡","柳","稽","上上","lei2"
"啟","氣","稽","上上","khei2"
"啓","氣","稽","上上","khei2"
"㒅","氣","稽","上上","khei2"
"綮","氣","稽","上上","khei2"
"𣥼","地","稽","上上","tei2"
"體","他","稽","上上","thei2"
"体","他","稽","上上","thei2"
"濟","曾","稽","上上","tsei2"
"姐","曾","稽","上上","tsei2"
"這","曾","稽","上上","tsei2"
"所","時","稽","上上","sei2"
"鬩","語","稽","上上","gei2"
"盻","語","稽","上上","gei2"
"睨","語","稽","上上","gei2"
"倪","語","稽","上上","gei2"
"詣","語","稽","上上","gei2"
"㧗","出","稽","上上","tshei2"
"紪","出","稽","上上","tshei2"
"眦","出","稽","上上","tshei2"
"泚","出","稽","上上","tshei2"
"眭","喜","稽","上上","hei2"
"蔽","邊","稽","上去","pei3"
"計","求","稽","上去","kei3"
"繼","求","稽","上去","kei3"
"檵","求","稽","上去","kei3"
"髻","求","稽","上去","kei3"
"契","氣","稽","上去","khei3"
"喫","氣","稽","上去","khei3"
"帝","地","稽","上去","tei3"
"偙","地","稽","上去","tei3"
"僀","地","稽","上去","tei3"
"蒂","地","稽","上去","tei3"
"諦","地","稽","上去","tei3"
"蝃","地","稽","上去","tei3"
"𧍝","地","稽","上去","tei3"
"締","地","稽","上去","tei3"
"褅","地","稽","上去","tei3"
"𤧛","地","稽","上去","tei3"
"禘","地","稽","上去","tei3"
"渧","地","稽","上去","tei3"
"揥","地","稽","上去","tei3"
"戴","地","稽","上去","tei3"
"紕","頗","稽","上去","phei3"
"啻","他","稽","上去","thei3"
"替","他","稽","上去","thei3"
"涕","他","稽","上去","thei3"
"剃","他","稽","上去","thei3"
"髢","他","稽","上去","thei3"
"祭","曾","稽","上去","tsei3"
"𣘤","曾","稽","上去","tsei3"
"際","曾","稽","上去","tsei3"
"瘵","曾","稽","上去","tsei3"
"嗻","曾","稽","上去","tsei3"
"霽","曾","稽","上去","tsei3"
"濟","曾","稽","上去","tsei3"
"㴉","曾","稽","上去","tsei3"
"漈","曾","稽","上去","tsei3"
"縩","曾","稽","上去","tsei3"
"婿","時","稽","上去","sei3"
"壻","時","稽","上去","sei3"
"些","時","稽","上去","sei3"
"細","時","稽","上去","sei3"
"妻","出","稽","上去","tshei3"
"𥻥","出","稽","上去","tshei3"
"黎","柳","稽","下平","lei5"
"藜","柳","稽","下平","lei5"
"蔾","柳","稽","下平","lei5"
"犂","柳","稽","下平","lei5"
"瓈","柳","稽","下平","lei5"
"鮭","求","稽","下平","kei5"
"題","地","稽","下平","tei5"
"蹄","地","稽","下平","tei5"
"偍","地","稽","下平","tei5"
"瑅","他","稽","下平","thei5"
"提","他","稽","下平","thei5"
"褆","他","稽","下平","thei5"
"鶗","他","稽","下平","thei5"
"鵜","他","稽","下平","thei5"
"啼","他","稽","下平","thei5"
"蠐","曾","稽","下平","tsei5"
"臍","曾","稽","下平","tsei5"
"齊","曾","稽","下平","tsei5"
"亝","曾","稽","下平","tsei5"
"迷","文","稽","下平","bei5"
"倪","語","稽","下平","gei5"
"𠆵","語","稽","下平","gei5"
"猊","語","稽","下平","gei5"
"麑","語","稽","下平","gei5"
"霓","語","稽","下平","gei5"
"輗","語","稽","下平","gei5"
"傒","喜","稽","下平","hei5"
"徯","喜","稽","下平","hei5"
"蹊","喜","稽","下平","hei5"
"攜","喜","稽","下平","hei5"
"携","喜","稽","下平","hei5"
"畦","喜","稽","下平","hei5"
"奚","喜","稽","下平","hei5"
"兮","喜","稽","下平","hei5"
"麗","柳","稽","下去","lei7"
"丽","柳","稽","下去","lei7"
"儷","柳","稽","下去","lei7"
"𠌯","柳","稽","下去","lei7"
"荔","柳","稽","下去","lei7"
"茘","柳","稽","下去","lei7"
"厲","柳","稽","下去","lei7"
"厉","柳","稽","下去","lei7"
"勵","柳","稽","下去","lei7"
"禲","柳","稽","下去","lei7"
"礪","柳","稽","下去","lei7"
"癘","柳","稽","下去","lei7"
"糲","柳","稽","下去","lei7"
"鱱","柳","稽","下去","lei7"
"隸","柳","稽","下去","lei7"
"㑦","柳","稽","下去","lei7"
"戾","柳","稽","下去","lei7"
"灑","柳","稽","下去","lei7"
"篱","柳","稽","下去","lei7"
"䕻","柳","稽","下去","lei7"
"地","地","稽","下去","tei7"
"遞","地","稽","下去","tei7"
"逓","地","稽","下去","tei7"
"弟","地","稽","下去","tei7"
"娣","地","稽","下去","tei7"
"悌","地","稽","下去","tei7"
"第","地","稽","下去","tei7"
"苐","地","稽","下去","tei7"
"禘","地","稽","下去","tei7"
"杕","地","稽","下去","tei7"
"棣","地","稽","下去","tei7"
"埭","地","稽","下去","tei7"
"髢","地","稽","下去","tei7"
"嚌","曾","稽","下去","tsei7"
"蓺","語","稽","下去","gei7"
"藝","語","稽","下去","gei7"
"羿","語","稽","下去","gei7"
"系","喜","稽","下去","hei7"
"繫","喜","稽","下去","hei7"
"係","喜","稽","下去","hei7"
"禊","喜","稽","下去","hei7"
"毅","喜","稽","下去","hei7"
"𪵏","喜","稽","下去","hei7"
"𩜖","邊","恭","上平","piong1"
"恭","求","恭","上平","kiong1"
"共","求","恭","上平","kiong1"
"龔","求","恭","上平","kiong1"
"弓","求","恭","上平","kiong1"
"供","求","恭","上平","kiong1"
"躬","求","恭","上平","kiong1"
"躳","求","恭","上平","kiong1"
"宮","求","恭","上平","kiong1"
"𦞨","求","恭","上平","kiong1"
"𧎡","求","恭","上平","kiong1"
"𢙄","求","恭","上平","kiong1"
"芎","氣","恭","上平","khiong1"
"穹","氣","恭","上平","khiong1"
"𡸕","氣","恭","上平","khiong1"
"𢖸","氣","恭","上平","khiong1"
"蛩","氣","恭","上平","khiong1"
"跫","氣","恭","上平","khiong1"
"銎","氣","恭","上平","khiong1"
"鞏","氣","恭","上平","khiong1"
"蜣","氣","恭","上平","khiong1"
"中","地","恭","上平","tiong1"
"忠","地","恭","上平","tiong1"
"衷","他","恭","上平","thiong1"
"伀","他","恭","上平","thiong1"
"鍾","曾","恭","上平","tsiong1"
"鐘","曾","恭","上平","tsiong1"
"舂","曾","恭","上平","tsiong1"
"摏","曾","恭","上平","tsiong1"
"憃","曾","恭","上平","tsiong1"
"螽","曾","恭","上平","tsiong1"
"終","曾","恭","上平","tsiong1"
"刣","曾","恭","上平","tsiong1"
"嵩","時","恭","上平","siong1"
"倯","時","恭","上平","siong1"
"邕","英","恭","上平","iong1"
"嗈","英","恭","上平","iong1"
"𡄸","英","恭","上平","iong1"
"癰","英","恭","上平","iong1"
"雝","英","恭","上平","iong1"
"灉","英","恭","上平","iong1"
"壅","英","恭","上平","iong1"
"饔","英","恭","上平","iong1"
"雍","英","恭","上平","iong1"
"廱","英","恭","上平","iong1"
"充","出","恭","上平","tshiong1"
"𠑽","出","恭","上平","tshiong1"
"㤝","出","恭","上平","tshiong1"
"珫","出","恭","上平","tshiong1"
"沖","出","恭","上平","tshiong1"
"冲","出","恭","上平","tshiong1"
"种","出","恭","上平","tshiong1"
"傭","出","恭","上平","tshiong1"
"偅","出","恭","上平","tshiong1"
"從","出","恭","上平","tshiong1"
"衝","出","恭","上平","tshiong1"
"蓯","出","恭","上平","tshiong1"
"忡","出","恭","上平","tshiong1"
"凶","喜","恭","上平","hiong1"
"兇","喜","恭","上平","hiong1"
"匈","喜","恭","上平","hiong1"
"胸","喜","恭","上平","hiong1"
"胷","喜","恭","上平","hiong1"
"恟","喜","恭","上平","hiong1"
"詾","喜","恭","上平","hiong1"
"洶","喜","恭","上平","hiong1"
"壟","柳","恭","上上","liong2"
"拱","求","恭","上上","kiong2"
"栱","求","恭","上上","kiong2"
"珙","求","恭","上上","kiong2"
"共","求","恭","上上","kiong2"
"鞏","求","恭","上上","kiong2"
"恐","氣","恭","上上","khiong2"
"冢","他","恭","上上","thiong2"
"塚","他","恭","上上","thiong2"
"𡻑","他","恭","上上","thiong2"
"寵","他","恭","上上","thiong2"
"種","曾","恭","上上","tsiong2"
"踵","曾","恭","上上","tsiong2"
"腫","曾","恭","上上","tsiong2"
"瘇","曾","恭","上上","tsiong2"
"傇","入","恭","上上","jiong2"
"宂","入","恭","上上","jiong2"
"冗","入","恭","上上","jiong2"
"茸","入","恭","上上","jiong2"
"傱","時","恭","上上","siong2"
"嵸","時","恭","上上","siong2"
"悚","時","恭","上上","siong2"
"竦","時","恭","上上","siong2"
"聳","時","恭","上上","siong2"
"俑","英","恭","上上","iong2"
"甬","英","恭","上上","iong2"
"踊","英","恭","上上","iong2"
"涌","英","恭","上上","iong2"
"湧","英","恭","上上","iong2"
"筩","英","恭","上上","iong2"
"𧗴","英","恭","上上","iong2"
"勇","英","恭","上上","iong2"
"㕳","喜","恭","上上","hiong2"
"供","求","恭","上去","kiong3"
"㑋","氣","恭","上去","khiong3"
"𣇬","氣","恭","上去","khiong3"
"中","地","恭","上去","tiong3"
"衆","曾","恭","上去","tsiong3"
"㐺","曾","恭","上去","tsiong3"
"偅","曾","恭","上去","tsiong3"
"種","曾","恭","上去","tsiong3"
"壅","英","恭","上去","iong3"
"擁","英","恭","上去","iong3"
"縱","出","恭","上去","tshiong3"
"從","出","恭","上去","tshiong3"
"銃","出","恭","上去","tshiong3"
"𣀒","出","恭","上去","tshiong3"
"𠑙","出","恭","上去","tshiong3"
"𧽒","喜","恭","上去","hiong3"
"忸","柳","恭","上入","liok4"
"菊","求","恭","上入","kiok4"
"掬","求","恭","上入","kiok4"
"匊","求","恭","上入","kiok4"
"踘","求","恭","上入","kiok4"
"㽤","求","恭","上入","kiok4"
"椈","求","恭","上入","kiok4"
"鞠","求","恭","上入","kiok4"
"鞫","求","恭","上入","kiok4"
"檋","求","恭","上入","kiok4"
"𦥑","求","恭","上入","kiok4"
"䋰","求","恭","上入","kiok4"
"曲","氣","恭","上入","khiok4"
"麴","氣","恭","上入","khiok4"
"麯","氣","恭","上入","khiok4"
"粬","氣","恭","上入","khiok4"
"竹","地","恭","上入","tiok4"
"竺","地","恭","上入","tiok4"
"筑","地","恭","上入","tiok4"
"築","地","恭","上入","tiok4"
"斸","地","恭","上入","tiok4"
"斥","他","恭","上入","thiok4"
"足","曾","恭","上入","tsiok4"
"屬","曾","恭","上入","tsiok4"
"柷","曾","恭","上入","tsiok4"
"祝","曾","恭","上入","tsiok4"
"囑","曾","恭","上入","tsiok4"
"嘱","曾","恭","上入","tsiok4"
"灟","曾","恭","上入","tsiok4"
"燭","曾","恭","上入","tsiok4"
"䌵","曾","恭","上入","tsiok4"
"喌","曾","恭","上入","tsiok4"
"𡄱","曾","恭","上入","tsiok4"
"粥","曾","恭","上入","tsiok4"
"瘃","曾","恭","上入","tsiok4"
"叔","時","恭","上入","siok4"
"夙","時","恭","上入","siok4"
"𠈇","時","恭","上入","siok4"
"𠉦","時","恭","上入","siok4"
"㑛","時","恭","上入","siok4"
"俶","時","恭","上入","siok4"
"倏","時","恭","上入","siok4"
"倐","時","恭","上入","siok4"
"淑","時","恭","上入","siok4"
"踧","時","恭","上入","siok4"
"菽","時","恭","上入","siok4"
"蓿","時","恭","上入","siok4"
"宿","時","恭","上入","siok4"
"㝛","時","恭","上入","siok4"
"𠲿","時","恭","上入","siok4"
"遬","時","恭","上入","siok4"
"肅","時","恭","上入","siok4"
"䎘","時","恭","上入","siok4"
"鷫","時","恭","上入","siok4"
"驌","時","恭","上入","siok4"
"蹜","時","恭","上入","siok4"
"縮","時","恭","上入","siok4"
"粟","時","恭","上入","siok4"
"益","英","恭","上入","iok4"
"浞","出","恭","上入","tshiok4"
"促","出","恭","上入","tshiok4"
"哫","出","恭","上入","tshiok4"
"捉","出","恭","上入","tshiok4"
"踀","出","恭","上入","tshiok4"
"蹙","出","恭","上入","tshiok4"
"蹴","出","恭","上入","tshiok4"
"蹵","出","恭","上入","tshiok4"
"䛤","出","恭","上入","tshiok4"
"齪","出","恭","上入","tshiok4"
"齱","出","恭","上入","tshiok4"
"丵","出","恭","上入","tshiok4"
"𠇘","出","恭","上入","tshiok4"
"傗","出","恭","上入","tshiok4"
"亍","出","恭","上入","tshiok4"
"矗","出","恭","上入","tshiok4"
"數","出","恭","上入","tshiok4"
"顣","出","恭","上入","tshiok4"
"頎","出","恭","上入","tshiok4"
"斶","出","恭","上入","tshiok4"
"觸","出","恭","上入","tshiok4"
"閦","出","恭","上入","tshiok4"
"臅","出","恭","上入","tshiok4"
"尺","出","恭","上入","tshiok4"
"畜","喜","恭","上入","hiok4"
"蓄","喜","恭","上入","hiok4"
"慉","喜","恭","上入","hiok4"
"𨕢","喜","恭","上入","hiok4"
"奧","喜","恭","上入","hiok4"
"燠","喜","恭","上入","hiok4"
"薁","喜","恭","上入","hiok4"
"旭","喜","恭","上入","hiok4"
"勗","喜","恭","上入","hiok4"
"郁","喜","恭","上入","hiok4"
"彧","喜","恭","上入","hiok4"
"頊","喜","恭","上入","hiok4"
"隆","柳","恭","下平","liong5"
"龍","柳","恭","下平","liong5"
"㡣","柳","恭","下平","liong5"
"襱","柳","恭","下平","liong5"
"朧","柳","恭","下平","liong5"
"櫳","柳","恭","下平","liong5"
"礱","柳","恭","下平","liong5"
"蘢","柳","恭","下平","liong5"
"𪔴","柳","恭","下平","liong5"
"癃","柳","恭","下平","liong5"
"窿","柳","恭","下平","liong5"
"窮","求","恭","下平","kiong5"
"竆","求","恭","下平","kiong5"
"𥨪","求","恭","下平","kiong5"
"藭","求","恭","下平","kiong5"
"𡺺","求","恭","下平","kiong5"
"𠌖","求","恭","下平","kiong5"
"𣑦","求","恭","下平","kiong5"
"重","地","恭","下平","tiong5"
"蟲","他","恭","下平","thiong5"
"虫","他","恭","下平","thiong5"
"爞","他","恭","下平","thiong5"
"從","曾","恭","下平","tsiong5"
"从","曾","恭","下平","tsiong5"
"娀","入","恭","下平","jiong5"
"𠈋","入","恭","下平","jiong5"
"仍","入","恭","下平","jiong5"
"戎","入","恭","下平","jiong5"
"絨","入","恭","下平","jiong5"
"礽","入","恭","下平","jiong5"
"茸","入","恭","下平","jiong5"
"陾","入","恭","下平","jiong5"
